time_ms,mode,pitch_cmd_deg,yaw_cmd_deg,pitch_pwm_us,yaw_pwm_us,meas_pitch_deg,meas_yaw_deg,imu_present,quat_w,quat_x,quat_y,quat_z,gyro_x_dps,gyro_y_dps,gyro_z_dps
0,synthetic_step_pitch,0.0,0.0,1500,1500,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,synthetic_step_pitch,0.0,0.0,1500,1500,0.006266661678215213,0.0,1,0.9999999985046694,0.0,5.4686939669446086e-05,0.0,0.0,0.31333308391076065,0.0
40,synthetic_step_pitch,0.0,0.0,1500,1500,0.01243449435824274,0.0,1,0.9999999941126344,0.0,0.00010851143347304873,0.0,0.0,0.30839163400137637,0.0
60,synthetic_step_pitch,0.0,0.0,1500,1500,0.018406227634233895,0.0,1,0.9999999870998629,0.0,0.00016062463685378073,0.0,0.0,0.2985866637995577,0.0
80,synthetic_step_pitch,0.0,0.0,1500,1500,0.024087683705085766,0.0,1,0.9999999779069932,0.0,0.0002102046933683488,0.0,0.0,0.28407280354259357,0.0
100,synthetic_step_pitch,0.0,0.0,1500,1500,0.029389262614623657,0.0,1,0.999999967111647,0.0,0.0002564696958676081,0.0,0.0,0.26507894547689453,0.0
120,synthetic_step_pitch,0.0,0.0,1500,1500,0.034227355296434434,0.0,1,0.9999999553921357,0.0,0.00029869001764504233,0.0,0.0,0.24190463409053883,0.0
140,synthetic_step_pitch,0.0,0.0,1500,1500,0.03852566213878947,0.0,1,0.9999999434848392,0.0,0.00033619981908293605,0.0,0.0,0.21491534211775173,0.0
160,synthetic_step_pitch,0.0,0.0,1500,1500,0.04221639627510076,0.0,1,0.9999999321379368,0.0,0.0003684075483299567,0.0,0.0,0.18453670681556447,0.0
180,synthetic_step_pitch,0.0,0.0,1500,1500,0.04524135262330098,0.0,1,0.9999999220643961,0.0,0.00039480527040972524,0.0,0.0,0.15124781741001103,0.0
200,synthetic_step_pitch,0.0,0.0,1500,1500,0.04755282581475768,0.0,1,0.9999999138971748,0.0,0.0004149766776372165,0.0,0.0,0.11557365957283496,0.0
220,synthetic_step_pitch,0.0,0.0,1500,1500,0.04911436253643443,0.0,1,0.9999999081494493,0.0,0.00042860365501697274,0.0,0.0,0.07807683608383777,0.0
240,synthetic_step_pitch,0.0,0.0,1500,1500,0.04990133642141358,0.0,1,0.9999999051823703,0.0,0.0004354712970860632,0.0,0.0,0.03934869424895744,0.0
260,synthetic_step_pitch,0.0,0.0,1500,1500,0.04990133642141358,0.0,1,0.9999999051823703,0.0,0.0004354712970860632,0.0,0.0,0.0,0.0
280,synthetic_step_pitch,0.0,0.0,1500,1500,0.04911436253643443,0.0,1,0.9999999081494493,0.0,0.00042860365501697274,0.0,0.0,-0.03934869424895744,0.0
300,synthetic_step_pitch,0.0,0.0,1500,1500,0.047552825814757685,0.0,1,0.9999999138971748,0.0,0.00041497667763721653,0.0,0.0,-0.07807683608383742,0.0
320,synthetic_step_pitch,0.0,0.0,1500,1500,0.04524135262330098,0.0,1,0.9999999220643961,0.0,0.00039480527040972524,0.0,0.0,-0.1155736595728353,0.0
340,synthetic_step_pitch,0.0,0.0,1500,1500,0.04221639627510075,0.0,1,0.9999999321379368,0.0,0.00036840754832995665,0.0,0.0,-0.1512478174100114,0.0
360,synthetic_step_pitch,0.0,0.0,1500,1500,0.03852566213878947,0.0,1,0.9999999434848392,0.0,0.00033619981908293605,0.0,0.0,-0.18453670681556414,0.0
380,synthetic_step_pitch,0.0,0.0,1500,1500,0.03422735529643444,0.0,1,0.9999999553921357,0.0,0.0002986900176450424,0.0,0.0,-0.21491534211775137,0.0
400,synthetic_step_pitch,0.0,0.0,1500,1500,0.029389262614623664,0.0,1,0.999999967111647,0.0,0.00025646969586760817,0.0,0.0,-0.24190463409053883,0.0
420,synthetic_step_pitch,0.0,0.0,1500,1500,0.02408768370508578,0.0,1,0.9999999779069932,0.0,0.0002102046933683489,0.0,0.0,-0.2650789454768942,0.0
440,synthetic_step_pitch,0.0,0.0,1500,1500,0.01840622763423391,0.0,1,0.9999999870998629,0.0,0.00016062463685378086,0.0,0.0,-0.28407280354259357,0.0
460,synthetic_step_pitch,0.0,0.0,1500,1500,0.012434494358242742,0.0,1,0.9999999941126344,0.0,0.00010851143347304875,0.0,0.0,-0.29858666379955834,0.0
480,synthetic_step_pitch,0.0,0.0,1500,1500,0.006266661678215227,0.0,1,0.9999999985046694,0.0,5.46869396694462e-05,0.0,0.0,-0.30839163400137576,0.0
500,synthetic_step_pitch,0.0,0.0,1500,1500,6.123233995736766e-18,0.0,1,1.0,0.0,5.3435297047827503e-20,0.0,0.0,-0.31333308391076103,0.0
520,synthetic_step_pitch,0.0,0.0,1500,1500,-0.006266661678215215,0.0,1,0.9999999985046694,0.0,-5.46869396694461e-05,0.0,0.0,-0.31333308391076103,0.0
540,synthetic_step_pitch,0.0,0.0,1500,1500,-0.012434494358242752,0.0,1,0.9999999941126344,0.0,-0.00010851143347304884,0.0,0.0,-0.30839163400137687,0.0
560,synthetic_step_pitch,0.0,0.0,1500,1500,-0.018406227634233916,0.0,1,0.9999999870998629,0.0,-0.00016062463685378092,0.0,0.0,-0.29858666379955817,0.0
580,synthetic_step_pitch,0.0,0.0,1500,1500,-0.024087683705085752,0.0,1,0.9999999779069932,0.0,-0.00021020469336834865,0.0,0.0,-0.2840728035425918,0.0
600,synthetic_step_pitch,0.0,0.0,1500,1500,-0.029389262614623653,0.0,1,0.999999967111647,0.0,-0.0002564696958676081,0.0,0.0,-0.26507894547689503,0.0
620,synthetic_step_pitch,0.0,0.0,1500,1500,-0.03422735529643444,0.0,1,0.9999999553921357,0.0,-0.0002986900176450424,0.0,0.0,-0.24190463409053936,0.0
640,synthetic_step_pitch,0.0,0.0,1500,1500,-0.03852566213878947,0.0,1,0.9999999434848392,0.0,-0.00033619981908293605,0.0,0.0,-0.21491534211775137,0.0
660,synthetic_step_pitch,0.0,0.0,1500,1500,-0.042216396275100765,0.0,1,0.9999999321379368,0.0,-0.00036840754832995676,0.0,0.0,-0.18453670681556483,0.0
680,synthetic_step_pitch,0.0,0.0,1500,1500,-0.04524135262330099,0.0,1,0.9999999220643961,0.0,-0.0003948052704097254,0.0,0.0,-0.1512478174100114,0.0
700,synthetic_step_pitch,0.0,0.0,1500,1500,-0.04755282581475768,0.0,1,0.9999999138971748,0.0,-0.0004149766776372165,0.0,0.0,-0.11557365957283426,0.0
720,synthetic_step_pitch,0.0,0.0,1500,1500,-0.04911436253643444,0.0,1,0.9999999081494493,0.0,-0.0004286036550169728,0.0,0.0,-0.07807683608383811,0.0
740,synthetic_step_pitch,0.0,0.0,1500,1500,-0.04990133642141358,0.0,1,0.9999999051823703,0.0,-0.0004354712970860632,0.0,0.0,-0.039348694248957095,0.0
760,synthetic_step_pitch,0.0,0.0,1500,1500,-0.04990133642141358,0.0,1,0.9999999051823703,0.0,-0.0004354712970860632,0.0,0.0,0.0,0.0
780,synthetic_step_pitch,0.0,0.0,1500,1500,-0.04911436253643444,0.0,1,0.9999999081494493,0.0,-0.0004286036550169728,0.0,0.0,0.039348694248957095,0.0
800,synthetic_step_pitch,0.0,0.0,1500,1500,-0.047552825814757685,0.0,1,0.9999999138971748,0.0,-0.00041497667763721653,0.0,0.0,0.07807683608383777,0.0
820,synthetic_step_pitch,0.0,0.0,1500,1500,-0.04524135262330098,0.0,1,0.9999999220643961,0.0,-0.00039480527040972524,0.0,0.0,0.1155736595728353,0.0
840,synthetic_step_pitch,0.0,0.0,1500,1500,-0.04221639627510078,0.0,1,0.9999999321379368,0.0,-0.00036840754832995686,0.0,0.0,0.15124781741001,0.0
860,synthetic_step_pitch,0.0,0.0,1500,1500,-0.03852566213878948,0.0,1,0.9999999434848392,0.0,-0.00033619981908293616,0.0,0.0,0.18453670681556483,0.0
880,synthetic_step_pitch,0.0,0.0,1500,1500,-0.03422735529643445,0.0,1,0.9999999553921357,0.0,-0.00029869001764504244,0.0,0.0,0.21491534211775173,0.0
900,synthetic_step_pitch,0.0,0.0,1500,1500,-0.02938926261462367,0.0,1,0.999999967111647,0.0,-0.0002564696958676083,0.0,0.0,0.24190463409053883,0.0
